project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
asciidoc language,Incubating,,,,,,,0,
asciidoc®,Regular,,,,,,,0,
e4,Archived,,,,,,,0,
eclipse aas model for java,Incubating,,,,,,,0,
eclipse aas web client,Incubating,,,,,,,0,
eclipse aasportal,Incubating,,,,,,,0,
eclipse aasx package explorer and server,Incubating,,,,,,,0,
eclipse adaaa (adaptive cruise control demo application for adaptive autosar),Archived,,,,,,,0,
eclipse adoptium incubator,Incubating,,,,,,,0,
eclipse adoptium®,Regular,,,,,,,0,
eclipse ambient light services,Incubating,,,,,,,0,
eclipse ankaios,Incubating,,,,,,,0,
eclipse ankaios dashboard,Incubating,,,,,,,0,
eclipse app4mc,Regular,,,,,,,0,
eclipse aqavit,Incubating,,,,,,,0,
eclipse arche,Incubating,,,,,,,0,
eclipse austen,Incubating,,,,,,,0,
eclipse automated driving open research (adore),Incubating,,,,,,,0,
eclipse automotive,Regular,,,,,,,0,
eclipse automotive api framework,Incubating,,,,,,,0,
eclipse automotive integration for autosd,Incubating,,,,,,,0,
eclipse autowrx,Incubating,,,,,,,0,
eclipse backend function bindings (bfb),Archived,,,,,,,0,
eclipse basyx,Incubating,,,,,,,0,
eclipse bluechi™,Regular,,,,,,,0,
eclipse cdt cloud,Incubating,,,,,,,0,
eclipse chariott,Incubating,,,,,,,0,
eclipse che,Incubating,,,,,,,0,
eclipse che4z,Incubating,,,,,,,0,
eclipse cloe™,Incubating,,,,,,,0,
eclipse cloud development,Regular,,,,,,,0,
eclipse codewind,Archived,,,,,,,0,
eclipse connected services platform,Incubating,,,,,,,0,
eclipse data tools sql dev tools,Archived,,,,,,,0,
eclipse digital twin,Regular,,,,,,,0,
eclipse dirigible™,Regular,,,,,,,0,
eclipse e4 project,Archived,,,,,,,0,
eclipse ecal (enhanced communication abstraction layer),Incubating,,,,,,,0,
eclipse emf cloud,Incubating,,,,,,,0,
eclipse equinox,Regular,,,,,,,0,
eclipse fa³st,Incubating,,,,,,,0,
eclipse flux,Archived,,,,,,,0,
eclipse glsp,Regular,,,,,,,0,
eclipse heimlig,Incubating,,,,,,,0,
eclipse ibeji,Incubating,,,,,,,0,
eclipse jdt (java development tools),Regular,,,,,,,0,
eclipse jkube™,Regular,,,,,,,0,
eclipse kuksa,Incubating,,,,,,,0,
eclipse langium,Incubating,,,,,,,0,
eclipse leda,Incubating,,,,,,,0,
eclipse leda incubator,Incubating,,,,,,,0,
eclipse lunadds,Archived,,,,,,,0,
eclipse mdm|bl,Regular,,,,,,,0,
eclipse migration toolkit for java,Incubating,,,,,,,0,
eclipse mission control,Incubating,,,,,,,0,
eclipse mnestix,Incubating,,,,,,,0,
eclipse moec,Archived,,,,,,,0,
eclipse mosaic™,Incubating,,,,,,,0,
eclipse muto,Incubating,,,,,,,0,
eclipse novamoon,Incubating,,,,,,,0,
eclipse open collaboration tools,Incubating,,,,,,,0,
eclipse open vehicle api,Incubating,,,,,,,0,
eclipse open vsx,Incubating,,,,,,,0,
eclipse openbsw,Incubating,,,,,,,0,
eclipse opendut,Incubating,,,,,,,0,
eclipse openmcx™,Incubating,,,,,,,0,
eclipse openpass,Incubating,,,,,,,0,
eclipse opensmartclide,Incubating,,,,,,,0,
eclipse opensovd,Incubating,,,,,,,0,
eclipse openxilenv,Incubating,,,,,,,0,
eclipse orion,Archived,,,,,,,0,
eclipse p3com,Incubating,,,,,,,0,
eclipse project,Regular,,,,,,,0,
eclipse project incubator,Archived,,,,,,,0,
eclipse pullpiri,Incubating,,,,,,,0,
eclipse safe open vehicle core,Incubating,,,,,,,0,
eclipse scm,Incubating,,,,,,,0,
eclipse sdv blueprints,Incubating,,,,,,,0,
eclipse sdv developer console,Incubating,,,,,,,0,
eclipse sdv-lvl ,Incubating,,,,,,,0,
eclipse semantic modeling framework (esmf),Incubating,,,,,,,0,
eclipse service lifecycle management,Incubating,,,,,,,0,
eclipse skybt - smart keyword based testing,Incubating,,,,,,,0,
eclipse sommr,Archived,,,,,,,0,
eclipse sphinx,Incubating,,,,,,,0,
eclipse sprotty,Regular,,,,,,,0,
eclipse sumo™,Regular,,,,,,,0,
eclipse temurin compliance,Incubating,,,,,,,0,
eclipse temurin®,Regular,,,,,,,0,
eclipse theia,Regular,,,,,,,0,
eclipse tools for cloud foundry,Regular,,,,,,,0,
eclipse tractus-x,Regular,,,,,,,0,
eclipse uprotocol,Incubating,,,,,,,0,
eclipse velocitas,Incubating,,,,,,,0,
eclipse wheel speed sensor signal packer,Incubating,,,,,,,0,
eclipse winery,Incubating,,,,,,,0,
jdt core,Archived,,,,,,,0,
jdt debug,Archived,,,,,,,0,
platform incubator,Archived,,,,,,,0,
ufacekit,Archived,,,,,,,0,
